Weight,Temp,PA,TO Climb Rate,MCP Climb Rate,OEI Climb Rate
3935,-35,0,1572,1299,419
3935,-35,1000,1473,1299,377
3935,-35,2000,1404,1299,336
3935,-35,3000,1334,1299,294
3935,-35,4000,1265,1265,252
3935,-35,5000,1194,1194,210
3935,-35,6000,1124,1124,167
3935,-35,7000,1053,1053,125
3935,-35,8000,982,982,82
3935,-35,9000,911,911,39
3935,-35,10000,839,839,-3
3935,-35,11000,767,767,-46
3935,-35,12000,695,695,-90
3935,-35,13000,622,622,-133
3935,-35,14000,549,549,-176
3935,-35,15000,476,476,-220
3935,-35,16000,403,403,-264
3935,-35,17000,329,329,-307
3935,-35,18000,256,256,-351
3935,-30,0,1525,1281,407
3935,-30,1000,1456,1281,365
3935,-30,2000,1386,1281,323
3935,-30,3000,1316,1281,281
3935,-30,4000,1246,1246,239
3935,-30,5000,1176,1176,196
3935,-30,6000,1105,1105,154
3935,-30,7000,1034,1034,111
3935,-30,8000,962,962,68
3935,-30,9000,891,891,26
3935,-30,10000,818,818,-18
3935,-30,11000,746,746,-61
3935,-30,12000,674,674,-104
3935,-30,13000,601,601,-147
3935,-30,14000,528,528,-191
3935,-30,15000,454,454,-235
3935,-30,16000,381,381,-278
3935,-30,17000,307,307,-322
3935,-30,18000,233,233,-366
3935,-25,0,1508,1263,394
3935,-25,1000,1439,1263,352
3935,-25,2000,1369,1263,310
3935,-25,3000,1298,1263,268
3935,-25,4000,1228,1228,226
3935,-25,5000,1157,1157,183
3935,-25,6000,1086,1086,140
3935,-25,7000,1014,1014,98
3935,-25,8000,942,942,55
3935,-25,9000,870,870,12
3935,-25,10000,798,798,-31
3935,-25,11000,725,725,-75
3935,-25,12000,652,652,-118
3935,-25,13000,579,579,-162
3935,-25,14000,506,506,-205
3935,-25,15000,432,432,-249
3935,-25,16000,358,358,-293
3935,-25,17000,284,284,-337
3935,-25,18000,210,210,-381
3935,-20,0,1492,1245,382
3935,-20,1000,1422,1245,340
3935,-20,2000,1351,1245,298
3935,-20,3000,1281,1245,255
3935,-20,4000,1210,1210,213
3935,-20,5000,1138,1138,170
3935,-20,6000,1067,1067,127
3935,-20,7000,995,995,84
3935,-20,8000,923,923,41
3935,-20,9000,850,850,-2
3935,-20,10000,778,778,-45
3935,-20,11000,705,705,-89
3935,-20,12000,632,632,-132
3935,-20,13000,558,558,-176
3935,-20,14000,484,484,-220
3935,-20,15000,411,411,-263
3935,-20,16000,337,337,-307
3935,-20,17000,262,262,-351
3935,-20,18000,188,188,-395
3935,-15,0,1475,1227,370
3935,-15,1000,1404,1227,327
3935,-15,2000,1334,1227,285
3935,-15,3000,1263,1227,242
3935,-15,4000,1191,1191,200
3935,-15,5000,1120,1120,157
3935,-15,6000,1048,1048,114
3935,-15,7000,975,975,71
3935,-15,8000,903,903,28
3935,-15,9000,830,830,-15
3935,-15,10000,757,757,-59
3935,-15,11000,684,684,-102
3935,-15,12000,611,611,-146
3935,-15,13000,537,537,-190
3935,-15,14000,463,463,-234
3935,-15,15000,389,389,-277
3935,-15,16000,315,315,-321
3935,-15,17000,240,240,-366
3935,-15,18000,188,166,-410
3935,-10,0,1458,1209,358
3935,-10,1000,1387,1209,315
3935,-10,2000,1316,1209,273
3935,-10,3000,1245,1209,230
3935,-10,4000,1173,1173,187
3935,-10,5000,1101,1101,144
3935,-10,6000,1029,1029,101
3935,-10,7000,956,956,58
3935,-10,8000,883,883,15
3935,-10,9000,810,810,-29
3935,-10,10000,737,737,-72
3935,-10,11000,664,664,-116
3935,-10,12000,590,590,-160
3935,-10,13000,516,516,-203
3935,-10,14000,442,442,-247
3935,-10,15000,38,368,-291
3935,-10,16000,293,293,-335
3935,-10,17000,219,219,-380
3935,-10,18000,144,144,-424
3935,-5,0,1441,1191,345
3935,-5,1000,1370,1191,303
3935,-5,2000,1298,1191,260
3935,-5,3000,1227,1191,217
3935,-5,4000,1155,1155,174
3935,-5,5000,1082,1082,131
3935,-5,6000,1010,1010,88
3935,-5,7000,937,937,45
3935,-5,8000,864,864,1
3935,-5,9000,791,791,-42
3935,-5,10000,17,717,-86
3935,-5,11000,643,643,-129
3935,-5,12000,570,570,-173
3935,-5,13000,495,495,-217
3935,-5,14000,421,421,-261
3935,-5,15000,347,347,-305
3935,-5,16000,272,272,-349
3935,-5,17000,191,197,-393
3935,-5,18000,122,122,-438
3935,0,0,1424,1173,333
3935,0,1000,1353,1173,291
3935,0,2000,1281,1173,248
3935,0,3000,1209,1173,205
3935,0,4000,1136,1136,162
3935,0,5000,1064,1064,119
3935,0,6000,991,991,75
3935,0,7000,918,918,32
3935,0,8000,845,845,-12
3935,0,9000,771,771,-55
3935,0,10000,697,697,-99
3935,0,11000,623,623,-143
3935,0,12000,549,549,-187
3935,0,13000,475,475,-231
3935,0,14000,400,400,-275
3935,0,15000,326,326,-319
3935,0,16000,251,251,-363
3935,0,17000,176,176,-407
3935,0,18000,101,101,-451
3935,5,0,1407,1155,322
3935,5,1000,1335,1155,279
3935,5,2000,1263,1155,236
3935,5,3000,1191,1155,193
3935,5,4000,1118,1118,149
3935,5,5000,1045,1045,106
3935,5,6000,972,972,63
3935,5,7000,899,899,19
3935,5,8000,825,825,-24
3935,5,9000,752,752,-68
3935,5,10000,678,678,-112
3935,5,11000,603,603,-156
3935,5,12000,529,529,-200
3935,5,13000,455,455,-244
3935,5,14000,380,380,-288
3935,5,15000,305,305,-332
3935,5,16000,230,230,-376
3935,5,17000,155,155,-421
3935,5,18000,80,80,-465
3935,10,0,1390,1137,310
3935,10,1000,1318,1137,267
3935,10,2000,1246,1137,224
3935,10,3000,1173,1137,180
3935,10,4000,1100,1100,137
3935,10,5000,1027,1027,94
3935,10,6000,954,954,50
3935,10,7000,880,880,7
3935,10,8000,806,806,-37
3935,10,9000,732,732,-81
3935,10,10000,658,658,-125
3935,10,11000,584,584,-169
3935,10,12000,509,509,-213
3935,10,13000,434,434,-257
3935,10,14000,360,360,-301
3935,10,15000,285,285,-345
3935,10,16000,209,209,-390
3935,10,17000,134,134,-434
3935,10,18000,59,59,-478
3935,15,0,1374,1119,298
3935,15,1000,1301,1119,255
3935,15,2000,1228,1119,212
3935,15,3000,1155,1119,168
3935,15,4000,1082,1082,125
3935,15,5000,1009,1009,81
3935,15,6000,935,935,38
3935,15,7000,861,861,-6
3935,15,8000,787,787,-50
3935,15,9000,713,713,-94
3935,15,10000,639,639,-138
3935,15,11000,564,564,-182
3935,15,12000,489,489,-226
3935,15,13000,414,414,-270
3935,15,14000,339,339,-314
3935,15,15000,264,264,-358
3935,15,16000,189,189,-403
3935,15,17000,114,114,-447
3935,15,18000,38,38,-491
3935,20,0,1357,1101,286
3935,20,1000,1284,1101,243
3935,20,2000,1211,1101,200
3935,20,3000,1138,1101,156
