Weight,Temp,PA,Ground Roll,Ground Roll + 50ft
3935,-35,0,1080,1680
3935,-35,1000,1190,1840
3935,-35,2000,1300,2020
3935,-35,3000,1430,2230
3935,-35,4000,1580,2470
3935,-35,5000,1750,2750
3935,-35,6000,1930,3060
3935,-35,7000,2190,3500
3935,-35,8000,2480,4020
3935,-35,9000,2820,4640
3935,-35,10000,3220,5390
3935,-25,0,1180,1820
3935,-25,1000,1290,2000
3935,-25,2000,1420,2200
3935,-25,3000,1560,2430
3935,-25,4000,1720,2690
3935,-25,5000,1900,3000
3935,-25,6000,2110,3350
3935,-25,7000,2390,3840
3935,-25,8000,2710,4420
3935,-25,9000,3090,5120
3935,-25,10000,3520,5980
3935,-15,0,1270,1960
3935,-15,1000,1400,2160
3935,-15,2000,1530,2380
3935,-15,3000,1690,2640
3935,-15,4000,1870,2930
3935,-15,5000,2070,3270
3935,-15,6000,2290,3660
3935,-15,7000,2600,4200
3935,-15,8000,2950,4860
3935,-15,9000,3370,5650
3935,-15,10000,3850,6640
3935,-5,0,1370,2130
3935,-5,1000,1510,2330
3935,-5,2000,1660,2580
3935,-5,3000,1830,2860
3935,-5,4000,2020,3180
3935,-5,5000,2240,3550
3935,-5,6000,2490,3990
3935,-5,7000,2820,4600
3935,-5,8000,3210,5330
3935,-5,9000,3670,6240
3935,-5,10000,4200,7380
3935,5,0,1480,2280
3935,5,1000,1630,2510
3935,5,2000,1790,2780
3935,5,3000,1970,3090
3935,5,4000,2180,3440
3935,5,5000,2420,3860
3935,5,6000,2690,4350
3935,5,7000,3060,5020
3935,5,8000,3490,5850
3935,5,9000,3980,6880
3935,5,10000,4570,8210
3935,15,0,1590,2450
3935,15,1000,1750,2710
3935,15,2000,1930,3000
3935,15,3000,2130,3340
3935,15,4000,2350,3730
3935,15,5000,2610,4190
3935,15,6000,2910,4730
3935,15,7000,3310,5490
3935,15,8000,3770,6420
3935,15,9000,4320,7600
3935,15,10000,4960,9140
3935,25,0,1710,2630
3935,25,1000,1880,2910
3935,25,2000,2070,3230
3935,25,3000,2290,3600
3935,25,4000,2530,4030
3935,25,5000,2810,4540
3935,25,6000,3130,5140
3935,25,7000,3570,5990
3935,25,8000,4080,7050
3935,25,9000,4670,8400
3935,25,10000,5380,10220
3935,35,0,1830,2820
3935,35,1000,2010,3120
3935,35,2000,2220,3470
3935,35,3000,2450,3880
3935,35,4000,2720,4350
3935,35,5000,3020,4910
3935,35,6000,3370,5590
3935,35,7000,3840,6540
3935,35,8000,4400,7740
3935,35,9000,5050,9310
3935,35,10000,5820,11470
3935,45,0,1950,3010
3935,45,1000,2150,3340
3935,45,2000,2370,3730
3935,45,3000,2630,4170
3935,45,4000,2920,4690
3935,45,5000,3240,5320
3935,45,6000,3620,6070
3935,45,7000,4130,7140
3935,45,8000,4740,8510
3935,45,9000,5440,10340
3935,45,10000,6280,12960
3500,-35,0,950,1480
3500,-35,1000,1040,1600
3500,-35,2000,1150,1760
3500,-35,3000,1260,1940
3500,-35,4000,1390,2140
3500,-35,5000,1530,2370
3500,-35,6000,1690,2640
3500,-35,7000,1910,3010
3500,-35,8000,2170,3440
3500,-35,9000,2460,3950
3500,-35,10000,2800,4560
3500,-25,0,1030,1590
3500,-25,1000,1130,1740
3500,-25,2000,1240,1910
3500,-25,3000,1370,2110
3500,-25,4000,1510,2330
3500,-25,5000,1670,2590
3500,-25,6000,1840,2880
3500,-25,7000,2090,3290
3500,-25,8000,2370,3770
3500,-25,9000,2690,4340
3500,-25,10000,3070,5040
3500,-15,0,1120,1710
3500,-15,1000,1230,1880
3500,-15,2000,1350,2070
